Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Roll,Pitch,Yaw,Data Point,Time (s),Acc_x Norm,Vel_x,,,,# points,47196
1.867572442,1.115754818,9.491098924,0.021215065,-0.037184954,0.002684507,5.775858383,9.185365089,1.143503276,6.640068269,-11.05767657,-59.73400863,13308,1330.8,-0.918927666,,,,,,
4.084716136,-3.103043442,8.217318746,-0.007547514,-0.010552937,0.02185956,6.222174712,9.549419193,0.918886561,-20.22704858,-24.94003873,-54.28569235,13309,1330.9,1.298216028,,,,,,
1.948979446,-1.819685969,8.887729366,0.024410907,-0.176736725,-0.028208633,5.592081071,9.101352603,0.918886561,-11.44874391,-12.12469246,-58.1375842,13310,1331,-0.837520662,,,,,,
3.059945617,-0.828435981,9.625181048,-0.010743356,0.064016712,-0.00903358,5.749604481,9.325385898,0.878047158,-4.842701848,-17.57504684,-59.78407436,13311,1331.1,0.273445509,,,,,,
3.802185946,-0.799704097,9.14631632,0.026541468,-0.003095972,-0.0079683,5.250780348,8.065198615,1.388539692,-4.89567507,-22.49575975,-60.65039953,13312,1331.2,1.015685838,,,,,,
3.366419043,-0.148448066,9.486310277,-0.023526724,-0.037184954,-0.010098861,6.248428614,6.440957227,3.103794606,-0.880901328,-19.53610152,-53.0279263,13313,1331.3,0.579918935,,,,,,
3.447826047,-0.996038636,10.22855061,0.016953942,-0.01481406,-0.013294703,6.931030059,6.552973874,2.777079384,-5.470207294,-18.54617799,-49.04861131,13314,1331.4,0.661325939,,,,,,
3.783031357,-1.331243946,9.476732982,0.003105293,0.018209642,0.002684507,6.957283961,8.373244395,1.899032226,-7.841786619,-21.56939232,-54.07200412,13315,1331.5,0.996531249,,,,,,
3.529233051,-1.489269306,8.370555459,-0.00115583,0.019274923,0.000553946,5.88087399,8.793306823,2.001130733,-9.884230219,-22.54362494,-59.74017888,13316,1331.6,0.742732943,,,,,,
3.840495125,-0.6177355,8.835054246,0.000974732,-0.031858551,0.001619227,6.090905204,9.577423355,1.633576108,-3.914726344,-23.44298795,-61.72315255,13317,1331.7,1.053995017,,,,,,
3.821340536,-0.411823667,9.697010758,-0.00222111,-0.007357095,0.00694563,6.327190319,9.493410869,2.307426253,-2.384905302,-21.49051083,-61.56803137,13318,1331.8,1.034840427,,,,,,
3.792608652,-0.574637675,10.40573056,-0.011808636,0.018209642,0.004815069,6.589729337,10.2775274,1.000565366,-3.104385873,-19.99738749,-59.64811086,13319,1331.9,1.006108544,,,,,,
3.88359295,-0.272952895,8.854208835,-0.003286391,-0.004161253,0.001619227,5.43455766,12.51786035,-0.183777312,-1.727855494,-23.67299128,-67.4134786,13320,1332,1.097092842,,,,,,
3.821340536,-0.483653376,9.395325978,0.000974732,0.0150138,0.005880349,4.646940608,12.34983538,0.551331937,-2.888241783,-22.10649676,-70.68677227,13321,1332.1,1.034840427,,,,,,
4.161334493,-1.489269306,9.874190707,0.003105293,9.99E-05,0.001619227,5.487065464,9.829460812,1.776514018,-8.402508579,-22.62258335,-63.6668336,13322,1332.2,1.374834385,,,,,,
4.214009613,-1.048713756,9.610815106,-0.012873917,-0.010552937,0.010141472,6.64223714,9.213369251,1.572317004,-6.094788901,-23.55133282,-57.88442781,13323,1332.3,1.427509505,,,,,,
3.921902129,-0.330416663,9.079275257,0.015888662,-0.035054393,-0.003707177,5.670842776,10.08149827,1.347700289,-2.040185739,-23.34871106,-64.56253316,13324,1332.4,1.13540202,,,,,,
3.902747539,-0.421400961,8.801533715,0.004170574,-0.013748779,0.000553946,5.88087399,9.017340118,2.572882371,-2.681754421,-23.88900325,-63.72080814,13325,1332.5,1.116247431,,,,,,
3.874015656,0.167602655,9.735319936,0.012692819,0.007556835,0.002684507,6.064651302,8.1492111,3.083374904,0.967065446,-21.69637908,-61.23470427,13326,1332.6,1.087515548,,,,,,
3.768665415,-0.047886473,9.02181149,0.015888662,-0.003095972,-0.000511335,6.720998846,9.913473297,2.368685357,-0.297893068,-22.67138433,-61.86072618,13327,1332.7,0.982165307,,,,,,
3.969788602,-0.665621973,9.112795789,0.004170574,0.008622116,0.001619227,7.561123701,10.75359815,1.388539692,-4.088862549,-23.48352448,-58.28960878,13328,1332.8,1.183288493,,,,,,
4.065561547,-1.101388876,9.055332021,-0.024592005,0.003295712,0.009076191,5.697096678,10.78160231,0.428813728,-6.78393062,-24.02178125,-62.7134362,13329,1332.9,1.279061439,,,,,,
3.696835706,-0.656044678,8.365766812,-0.01713504,0.010752677,0.000553946,5.198272545,10.52956486,1.715254914,-4.387417867,-23.77578754,-67.54928056,13330,1333,0.910335598,,,,,,
3.577119524,-0.608158206,8.882940719,-9.05E-05,-0.031858551,-0.00903358,5.985889597,10.30553156,1.674415511,-3.839495191,-21.88803921,-63.47211317,13331,1333.1,0.790619416,,,,,,
4.151757198,-0.914631632,10.17587549,0.007366416,-0.049968322,-0.005837738,5.854620088,9.997485783,1.939871629,-5.033929605,-22.11494816,-63.60671599,13332,1333.2,1.36525709,,,,,,
3.715990295,-0.05267512,9.883768002,-0.015004479,0.026731887,0.000553946,6.615983239,10.08149827,1.633576108,-0.299718388,-20.60443601,-60.81123201,13333,1333.3,0.929490187,,,,,,
3.77824271,-0.660833326,9.515042161,-0.006482233,0.026731887,0.000553946,5.802112285,10.2775274,1.694835212,-3.895792533,-21.60984655,-64.12753242,13334,1333.4,0.991742602,,,,,,
3.261068803,-0.938574868,8.557312703,0.014823381,-0.029727989,-0.00903358,5.88087399,9.465406707,1.592736706,-6.14310868,-20.74738301,-61.06299834,13335,1333.5,0.474568695,,,,,,
2.911497551,-0.732663035,9.601237812,0.014823381,-0.002030691,-0.006903019,6.615983239,8.457256881,1.592736706,-4.29881051,-16.82336527,-54.69610928,13336,1333.6,0.124997443,,,,,,
4.391189563,-1.000827283,9.151104967,0.02973731,-0.07766562,-0.017555826,6.694744944,8.59727769,0.714689547,-6.096325297,-25.50157062,-54.59788563,13337,1333.7,1.604689455,,,,,,
4.482173861,-0.905054337,9.376171389,0.024410907,0.009687396,-0.012229422,5.592081071,9.101352603,0.224616715,-5.38557041,-25.44637587,-59.63755006,13338,1333.8,1.695673753,,,,,,
3.342475807,-0.727874388,7.202125521,-0.023526724,-0.01481406,0.001619227,4.961987429,10.10950243,1.000565366,-5.6409136,-24.78483096,-66.089248,13339,1333.9,0.555975699,,,,,,
3.505289815,-0.622524147,8.653085649,-0.006482233,-0.008422375,-0.017555826,5.513319365,9.465406707,1.470218497,-4.033490366,-22.00102544,-63.24729319,13340,1334,0.718789706,,,,,,
4.099082078,-1.297723415,8.825476951,0.027606749,0.022470765,-0.005837738,5.775858383,9.35339006,1.388539692,-8.177736828,-24.679676,-61.05339555,13341,1334.1,1.31258197,,,,,,
3.577119524,-1.446171481,9.591660517,0.025476188,-0.005226533,-0.005837738,6.563475435,8.737298499,1.388539692,-8.419437796,-20.24258916,-55.30041612,13342,1334.2,0.790619416,,,,,,
2.863611078,-1.532367132,8.777590478,-0.035244812,0.018209642,0.000553946,6.012143499,9.381394222,1.041404769,-9.746870203,-17.81639266,-57.96490773,13343,1334.3,0.07711097,,,,,,
2.901920256,-0.589003616,9.48152163,-0.00115583,-0.01587934,-0.0079683,5.723350579,8.569273528,0.980145665,-3.501271655,-16.98643198,-58.19821797,13344,1334.4,0.115420148,,,,,,
3.610640055,-1.134909407,8.954770428,-0.021396163,-0.023336305,-0.000511335,5.749604481,8.653286014,1.123083574,-7.081763378,-21.80184321,-58.62662523,13345,1334.5,0.824139947,,,,,,
3.03600238,0.359148547,9.859824765,-0.00222111,0.009687396,-0.005837738,5.907127892,8.485261042,1.694835212,2.05449924,-17.10378026,-59.00199208,13346,1334.6,0.249502272,,,,,,
2.70079707,-0.574637675,8.868574777,-0.020330882,-0.008422375,-0.000511335,6.405952025,8.345240233,1.347700289,-3.651835339,-16.90394113,-54.99536467,13347,1334.7,-0.085703038,,,,,,
3.074311559,-0.636890089,9.213357382,0.038259556,-0.01481406,-0.003707177,6.589729337,9.325385898,1.286441185,-3.889692895,-18.41184916,-57.22315256,13348,1334.8,0.287811451,,,,,,
3.33768716,-1.910670268,9.74489723,-0.00222111,-0.032923831,-0.001576615,5.697096678,9.885469135,0.878047158,-10.91093545,-18.5778364,-59.90640561,13349,1334.9,0.551187051,,,,,,
3.514867109,-1.091811582,8.806322362,-0.00222111,0.002230431,0.000553946,6.012143499,8.877319308,1.980711031,-6.930565895,-21.60838653,-59.83811898,13350,1335,0.728367001,,,,,,
3.356841749,-0.526751202,9.778417762,-0.020330882,0.042711098,0.009076191,5.749604481,8.653286014,1.245601783,-3.031536715,-18.92140116,-59.23143718,13351,1335.1,0.57034164,,,,,,
3.395150927,0.15802536,10.03221607,0.046781802,-0.026532147,-0.00903358,6.090905204,8.849315147,1.796933719,0.887422624,-18.69493728,-59.72194089,13352,1335.2,0.608650819,,,,,,
3.222759625,-0.311262074,9.984329595,0.016953942,-0.035054393,0.000553946,6.169666909,9.829460812,1.490638199,-1.757278382,-17.88100023,-60.84308386,13353,1335.3,0.436259516,,,,,,
3.03600238,-0.411823667,9.58687187,-0.030983689,0.018209642,0.002684507,6.327190319,9.605427517,1.163922977,-2.421450094,-17.55693027,-58.9643613,13354,1335.4,0.249502272,,,,,,
